director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,ActionAdventureDramaHistoryRomance,the bounty,Liam Neeson Anthony Hopkins Laurence Olivier Roger Donaldson ActionAdventureDramaHistoryRomance
Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,DramaWar,the book thief,Emily Watson Sophie Nélisse Roger Allam Brian Percival DramaWar
Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,AdventureComedyRomance,sex drive,Katrina Bowden Michael Cudlitz Alice Greczyn Sean Anders AdventureComedyRomance
Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,ComedyRomance,leap year,Adam Scott Kaitlin Olson Dominique McElligott Anand Tucker ComedyRomance
Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,DramaHistoryWar,the fall of the roman empire,James Mason Mel Ferrer Stephen Boyd Anthony Mann DramaHistoryWar
Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,ComedyDramaRomance,take me home tonight,Topher Grace Michael Biehn Dan Fogler Michael Dowse ComedyDramaRomance
Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,Drama,won't back down,Holly Hunter Rosie Perez Dante Brown Daniel Barnz Drama
Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,FamilyFantasyMusic,the nutcracker,Darci Kistler Kyra Nichols Margaret Tracey Emile Ardolino FamilyFantasyMusic
Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,CrimeDramaMusicThriller,kansas city,Steve Buscemi Jennifer Jason Leigh Miranda Richardson Robert Altman CrimeDramaMusicThriller
James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,Drama,indignation,Logan Lerman Sarah Gadon Tracy Letts James Schamus Drama
Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,DramaHorrorMysteryThriller,the amityville horror,Jimmy Bennett Chloë Grace Moretz Ryan Reynolds Andrew Douglas DramaHorrorMysteryThriller
Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,ComedyDrama,adaptation.,Nicolas Cage Meryl Streep Roger Willie Spike Jonze ComedyDrama
George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,Horror,land of the dead,Tony Nappo Shawn Roberts Pedro Miguel Arce George A. Romero Horror
Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,Action,out of inferno,Louis Koo Angelica Lee Ching Wan Lau Danny Pang Action
Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,AdventureComedyDrama,fear and loathing in las vegas,Johnny Depp Michael Jeter Ellen Barkin Terry Gilliam AdventureComedyDrama
Ricky Gervais,Jennifer Garner,Tina Fey,Martin Starr,ComedyFantasyRomance,the invention of lying,Jennifer Garner Tina Fey Martin Starr Ricky Gervais ComedyFantasyRomance
Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,Comedy,neighbors,Craig Roberts Carla Gallo Ike Barinholtz Nicholas Stoller Comedy
Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,ActionComedyCrimeFantasy,the mask,Peter Greene Amy Yasbeck Reg E. Cathey Chuck Russell ActionComedyCrimeFantasy
Penny Marshall,Tom Hanks,Jon Lovitz,John Heard,ComedyDramaFamilyFantasyRomance,big,Tom Hanks Jon Lovitz John Heard Penny Marshall ComedyDramaFamilyFantasyRomance
Larry Charles,Luenell,Ken Davitian,Chester,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Luenell Ken Davitian Chester Larry Charles Comedy
Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,ComedyRomance,legally blonde,Linda Cardellini Raquel Welch Alanna Ubach Robert Luketic ComedyRomance
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,ActionAdventureSci-Fi,star trek iii: the search for spock,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy ActionAdventureSci-Fi
Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,DramaHorrorThriller,the exorcism of emily rose,Tom Wilkinson Colm Feore JR Bourne Scott Derrickson DramaHorrorThriller
Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,ComedyRomance,deuce bigalow: male gigolo,Amy Poehler Eddie Griffin Bree Turner Mike Mitchell ComedyRomance
Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,ComedyDramaRomance,the family stone,Craig T. Nelson Paul Schneider Tyrone Giordano Thomas Bezucha ComedyDramaRomance
Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,ComedyDrama,barbershop 2: back in business,Harry Lennix Sean Patrick Thomas Kenan Thompson Kevin Rodney Sullivan ComedyDrama
Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,ComedyCrimeDrama,bad santa,Bernie Mac Tony Cox Alex Borstein Terry Zwigoff ComedyCrimeDrama
Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,ComedyCrime,austin powers: international man of mystery,Will Ferrell Charles Napier Robert Wagner Jay Roach ComedyCrime
Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,ComedyFamilyRomance,my big fat greek wedding 2,Nia Vardalos Louis Mandylor Joey Fatone Kirk Jones ComedyFamilyRomance
David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,ComedyFamily,diary of a wimpy kid: rodrick rules,Zachary Gordon Rachael Harris Fran Kranz David Bowers ComedyFamily
John McTiernan,Shane Black,Bill Duke,Carl Weathers,ActionHorrorSci-Fi,predator,Shane Black Bill Duke Carl Weathers John McTiernan ActionHorrorSci-Fi
Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,BiographyDramaHistoryMusic,amadeus,Jeffrey Jones F. Murray Abraham Tom Hulce Milos Forman BiographyDramaHistoryMusic
Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,HorrorMystery,prom night,Ming-Na Wen Scott Porter Collins Pennie Nelson McCormick HorrorMystery
Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Comedy,mean girls,Tina Fey Amy Poehler Neil Flynn Mark Waters Comedy
Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,ComedyDramaRomance,under the tuscan sun,Raoul Bova Lindsay Duncan Mario Monicelli Audrey Wells ComedyDramaRomance
Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,DramaMystery,gosford park,Kristin Scott Thomas Bob Balaban Tom Hollander Robert Altman DramaMystery
unknown,Peter Gallagher,Melinda Clarke,Tate Donovan,ComedyDramaRomance,the o.c.            ,Peter Gallagher Melinda Clarke Tate Donovan unknown ComedyDramaRomance
Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,ComedyDramaFantasyRomance,peggy sue got married,Nicolas Cage Kathleen Turner Joan Allen Francis Ford Coppola ComedyDramaFantasyRomance
Alejandro G. Iñárritu,Emma Stone,Naomi Watts,Merritt Wever,ComedyDramaRomance,birdman or (the unexpected virtue of ignorance),Emma Stone Naomi Watts Merritt Wever Alejandro G. Iñárritu ComedyDramaRomance
Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Drama,blue jasmine,Sally Hawkins Charlie Tahan Andrew Dice Clay Woody Allen Drama
Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,DramaHistoryThriller,united 93,Christian Clemenson David Alan Basche Susan Blommaert Paul Greengrass DramaHistoryThriller
Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,DramaMusicRomance,honey,Christian Monzon Mekhi Phifer Romeo Miller Bille Woodruff DramaMusicRomance
Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,DramaHistoryWar,glory,Denzel Washington Morgan Freeman Matthew Broderick Edward Zwick DramaHistoryWar
Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,ActionComedy,spy hard,Hulk Hogan Barry Bostwick Nicollette Sheridan Rick Friedberg ActionComedy
Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,BiographyDramaFamilySport,soul surfer,Dennis Quaid Chris Brochu Craig T. Nelson Sean McNamara BiographyDramaFamilySport
Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,ComedyDramaWar,catch-22,Bob Newhart Bob Balaban Martin Balsam Mike Nichols ComedyDramaWar
Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,ComedyCrimeDrama,observe and report,Collette Wolfe Celia Weston Dan Bakkedahl Jody Hill ComedyCrimeDrama
Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,ActionAdventureFantasy,conan the destroyer,Mako Olivia d'Abo Grace Jones Richard Fleischer ActionAdventureFantasy
Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,BiographyDramaSport,raging bull,Robert De Niro Cathy Moriarty Frank Vincent Martin Scorsese BiographyDramaSport
Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,DramaRomance,love happens,Judy Greer Sasha Alexander Frances Conroy Brandon Camp DramaRomance
Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,AdventureFantasyMysteryThriller,young sherlock holmes,Nicholas Rowe Roger Ashton-Griffiths Freddie Jones Barry Levinson AdventureFantasyMysteryThriller
Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,ComedyDramaMusicalRomance,fame,Kelsey Grammer Kay Panabaker Megan Mullally Kevin Tancharoen ComedyDramaMusicalRomance
Danny Boyle,James Franco,Treat Williams,Kate Burton,AdventureBiographyDramaThriller,127 hours,James Franco Treat Williams Kate Burton Danny Boyle AdventureBiographyDramaThriller
Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,ComedyCrime,small time crooks,Woody Allen Jon Lovitz Michael Rapaport Woody Allen ComedyCrime
Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,DramaMusicRomance,center stage,Amanda Schull Susan May Pratt Ethan Stiefel Nicholas Hytner DramaMusicRomance
Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,Comedy,love the coopers,Olivia Wilde Alex Borstein Timothée Chalamet Jessie Nelson Comedy
Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,ComedyCrime,catch that kid,Kristen Stewart Corbin Bleu Kevin G. Schmidt Bart Freundlich ComedyCrime
Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Drama,life as a house,Ian Somerhalder Hayden Christensen Kristin Scott Thomas Irwin Winkler Drama
Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,BiographyDrama,steve jobs,Kate Winslet Michael Fassbender Michael Stuhlbarg Danny Boyle BiographyDrama
Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,ComedyRomance,"i love you, beth cooper",Alan Ruck Marie Avgeropoulos Shawn Roberts Chris Columbus ComedyRomance
Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,ComedyDramaRomance,youth in revolt,Steve Buscemi Ari Graynor Fred Willard Miguel Arteta ComedyDramaRomance
William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,ActionAdventureWestern,the legend of the lone ranger,Jason Robards Richard Farnsworth Michael Horse William A. Fraker ActionAdventureWestern
John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,DramaThriller,the tailor of panama,Daniel Radcliffe Jamie Lee Curtis Mark Margolis John Boorman DramaThriller
Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,MysteryThriller,blow out,Nancy Allen Dennis Franz John McMartin Brian De Palma MysteryThriller
Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,ActionCrimeThriller,getaway,Rebecca Budig Paul Freeman Bruce Payne Courtney Solomon ActionCrimeThriller
Ang Lee,Joan Allen,Kate Burton,Henry Czerny,Drama,the ice storm,Joan Allen Kate Burton Henry Czerny Ang Lee Drama
Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,ComedyDramaRomance,and so it goes,Yaya DaCosta Annie Parisse Frankie Valli Rob Reiner ComedyDramaRomance
Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,AdventureComedy,troop beverly hills,Craig T. Nelson Shelley Long Kellie Martin Jeff Kanew AdventureComedy
István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,ComedyDramaRomance,being julia,Miriam Margolyes Shaun Evans Juliet Stevenson István Szabó ComedyDramaRomance
Adrian Lyne,David Margulies,Karen Young,Kim Chan,DramaRomance,9½ weeks,David Margulies Karen Young Kim Chan Adrian Lyne DramaRomance
Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,ActionAdventureFantasy,dragonslayer,Ian McDiarmid Ralph Richardson Albert Salmi Matthew Robbins ActionAdventureFantasy
Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,BiographyDramaRomance,the last station,David Masterson Kerry Condon Anne-Marie Duff Michael Hoffman BiographyDramaRomance
Tim Burton,Johnny Depp,Bill Murray,Martin Landau,BiographyComedyDrama,ed wood,Johnny Depp Bill Murray Martin Landau Tim Burton BiographyComedyDrama
Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,Drama,labor day,J.K. Simmons Kate Winslet Brooke Smith Jason Reitman Drama
Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,AdventureBiographyDramaHistoryWar,mongol: the rise of genghis khan,Tadanobu Asano Khulan Chuluun Honglei Sun Sergey Bodrov AdventureBiographyDramaHistoryWar
Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,ActionCrimeThriller,rocknrolla,Tom Hardy Gerard Butler Tom Wilkinson Guy Ritchie ActionCrimeThriller
Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,ActionSci-Fi,megaforce,Barry Bostwick Michael Beck Henry Silva Hal Needham ActionSci-Fi
Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,BiographyDramaMusicRomance,mao's last dancer,Bruce Greenwood Suzie Steen Aden Young Bruce Beresford BiographyDramaMusicRomance
Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,AdventureDramaSci-FiThriller,midnight special,Kirsten Dunst Sam Shepard Paul Sparks Jeff Nichols AdventureDramaSci-FiThriller
Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,ComedyRomance,anything else,Woody Allen Stockard Channing Fisher Stevens Woody Allen ComedyRomance
Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,BiographyDramaRomanceWar,the railway man,Jeremy Irvine Colin Firth Sam Reid Jonathan Teplitzky BiographyDramaRomanceWar
unknown,Poppy Montgomery,Dylan Walsh,Dallas Roberts,DramaMystery,unforgettable            ,Poppy Montgomery Dylan Walsh Dallas Roberts unknown DramaMystery
Michael Haneke,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,DramaMystery,the white ribbon,Ulrich Tukur Burghart Klaußner Leonie Benesch Michael Haneke DramaMystery
Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,restoration,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror
Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,ActionHorrorRomanceSci-FiThriller,the wraith,Clint Howard Randy Quaid Nick Cassavetes Mike Marvin ActionHorrorRomanceSci-FiThriller
D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,CrimeDramaMysteryThriller,the salton sea,Adam Goldberg Meat Loaf Anthony LaPaglia D.J. Caruso CrimeDramaMysteryThriller
Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,Music,metallica through the never,James Hetfield Mackenzie Gray Lars Ulrich Nimród Antal Music
Gregor Jordan,Austin Nichols,Brad Renfro,Lou Taylor Pucci,CrimeDramaThriller,the informers,Austin Nichols Brad Renfro Lou Taylor Pucci Gregor Jordan CrimeDramaThriller
unknown,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,BiographyCrimeDramaThriller,carlos            ,Edgar Ramírez Nora von Waldstätten Katharina Schüttler unknown BiographyCrimeDramaThriller
Tran Anh Hung,Takuya Kimura,Simón Andreu,Shawn Yue,Thriller,i come with the rain,Takuya Kimura Simón Andreu Shawn Yue Tran Anh Hung Thriller
Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,ActionDramaHistoryRomanceWarWestern,one man's hero,Tom Berenger Joaquim de Almeida Mark Moses Lance Hool ActionDramaHistoryRomanceWarWestern
Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,ActionCrimeDramaThriller,i am wrath,Sam Trammell Rebecca De Mornay Amanda Schull Chuck Russell ActionCrimeDramaThriller
Christian Volckman,Romola Garai,Catherine McCormack,Kevork Malikyan,ActionAnimationSci-FiThriller,renaissance,Romola Garai Catherine McCormack Kevork Malikyan Christian Volckman ActionAnimationSci-FiThriller
Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,DramaWestern,forsaken,Demi Moore Landon Liboiron Michael Wincott Jon Cassar DramaWestern
Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,ActionAdventureFantasy,red sonja,Ernie Reyes Jr. Brigitte Nielsen Sandahl Bergman Richard Fleischer ActionAdventureFantasy
Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,DramaHorrorMysteryThriller,red lights,Robert De Niro Toby Jones Craig Roberts Rodrigo Cortés DramaHorrorMysteryThriller
Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Comedy,superbad,Emma Stone Joe Lo Truglio Kevin Corrigan Greg Mottola Comedy
Tyler Perry,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,ComedyCrimeDrama,madea goes to jail,Vanessa Ferlito Keshia Knight Pulliam Derek Luke Tyler Perry ComedyCrimeDrama
David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,ActionHorror,wolves,Jason Momoa Jennifer Hale Stephen McHattie David Hayter ActionHorror
Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,DramaMusicMusicalRomance,step up 2: the streets,Cassie Ventura Mari Koda Luis Rosado Jon M. Chu DramaMusicMusicalRomance
Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,ActionAnimationComedyCrimeFamily,hoodwinked!,Anne Hathaway Chazz Palminteri Jim Belushi Cory Edwards ActionAnimationComedyCrimeFamily
Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,DramaHistoryWar,hotel rwanda,Don Cheadle Sophie Okonedo Hakeem Kae-Kazim Terry George DramaHistoryWar
Xavier Gens,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,ActionCrimeDramaThriller,hitman,Henry Ian Cusick Dougray Scott Ulrich Thomsen Xavier Gens ActionCrimeDramaThriller
Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,DramaFamilyMusicMusical,black nativity,Jennifer Hudson Mary J. Blige Vondie Curtis-Hall Kasi Lemmons DramaFamilyMusicMusical
Brian A Miller,Bruce Willis,50 Cent,Jessica Lowndes,ActionThriller,the prince,Bruce Willis 50 Cent Jessica Lowndes Brian A Miller ActionThriller
Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,FantasyHorrorThriller,the others,Fionnula Flanagan Elaine Cassidy Eric Sykes Alejandro Amenábar FantasyHorrorThriller
James Cameron,Michael Biehn,Carrie Henn,Jenette Goldstein,ActionAdventureSci-Fi,aliens,Michael Biehn Carrie Henn Jenette Goldstein James Cameron ActionAdventureSci-Fi
George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,DramaFamilyMusicalRomance,my fair lady,Jeremy Brett Rex Harrison Theodore Bikel George Cukor DramaFamilyMusicalRomance
Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,HorrorMysteryThriller,i know what you did last summer,Muse Watson Sarah Michelle Gellar Anne Heche Jim Gillespie HorrorMysteryThriller
Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,Comedy,let's be cops,Rob Riggle Damon Wayans Jr. James D'Arcy Luke Greenfield Comedy
Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,AdventureComedyDramaRomance,sideways,Virginia Madsen Patrick Gallagher M.C. Gainey Alexander Payne AdventureComedyDramaRomance
Jay Chandrasekhar,Chris Moss,Owain Yeoman,Jay Chandrasekhar,Comedy,beerfest,Chris Moss Owain Yeoman Jay Chandrasekhar Jay Chandrasekhar Comedy
Yimou Zhang,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,ActionAdventureHistory,hero,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang ActionAdventureHistory
John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,ComedyDramaFamilyFantasySci-Fi,good boy!,Liam Aiken Molly Shannon Kevin Nealon John Hoffman ComedyDramaFamilyFantasySci-Fi
Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,ComedyDrama,the best man holiday,Harold Perrineau Sanaa Lathan Eddie Cibrian Malcolm D. Lee ComedyDrama
Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,ActionCrimeDramaThriller,smokin' aces,Ryan Reynolds Common Alex Rocco Joe Carnahan ActionCrimeDramaThriller
Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,HorrorMystery,saw 3d: the final chapter,Costas Mandylor Gina Holden Betsy Russell Kevin Greutert HorrorMystery
Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,ComedyRomance,40 days and 40 nights,Emmanuelle Vaugier Vinessa Shaw Paulo Costanzo Michael Lehmann ComedyRomance
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,ActionAdventureSci-Fi,tron: legacy,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski ActionAdventureSci-Fi
John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,ComedyMusicRomance,a night at the roxbury,Will Ferrell Chris Kattan Dan Hedaya John Fortenberry ComedyMusicRomance
Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,DramaFantasyRomance,beastly,Alex Pettyfer Mary-Kate Olsen Erik Knudsen Daniel Barnz DramaFantasyRomance
Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,Horror,the hills have eyes,Dan Byrd Greg Nicotero Vinessa Shaw Alexandre Aja Horror
Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,Comedy,dickie roberts: former child star,Kevin Grevioux Jenna Boyd Mary McCormack Sam Weisman Comedy
Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,BiographyDramaSport,"mcfarland, usa",Morgan Saylor Valente Rodriguez Diana Maria Riva Niki Caro BiographyDramaSport
Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,Comedy,lottery ticket,Brandon T. Jackson Loretta Devine Shad Moss Erik White Comedy
Chris Robinson,T.I.,Adam Boyer,Malika,ComedyCrimeDramaMusicRomance,atl,T.I. Adam Boyer Malika Chris Robinson ComedyCrimeDramaMusicRomance
Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,ComedyMusicRomance,pitch perfect,Anna Kendrick Hana Mae Lee Ben Platt Jason Moore ComedyMusicRomance
Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,ComedyDramaRomanceSport,summer catch,Marc Blucas Brian Dennehy Bruce Davison Michael Tollin ComedyDramaRomanceSport
Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,CrimeDramaThriller,a simple plan,Gary Cole Bridget Fonda Chelcie Ross Sam Raimi CrimeDramaThriller
Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,HorrorMysteryThriller,they,Alexander Gould Ethan Embry Marc Blucas Robert Harmon HorrorMysteryThriller
Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,ComedyRomance,larry the cable guy: health inspector,Thomas F. Wilson Larry the Cable Guy Megyn Price Trent Cooper ComedyRomance
Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,AdventureComedyFamilyFantasyMusical,the adventures of elmo in grouchland,Vanessa Williams Kevin Clash Caroll Spinney Gary Halvorson AdventureComedyFamilyFantasyMusical
Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,CrimeDramaThriller,brooklyn's finest,Don Cheadle Lili Taylor Armando Riesco Antoine Fuqua CrimeDramaThriller
Nicholas Ray,Ava Gardner,David Niven,John Ireland,ActionAdventureDramaHistoryWar,55 days at peking,Ava Gardner David Niven John Ireland Nicholas Ray ActionAdventureDramaHistoryWar
Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Horror,evil dead,Lou Taylor Pucci Elizabeth Blackmore Ellen Sandweiss Fede Alvarez Horror
Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,ComedyRomance,my life in ruins,Nia Vardalos Harland Williams Rachel Dratch Donald Petrie ComedyRomance
Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,ComedyMusic,american dreamz,Judy Greer Dennis Quaid Chris Klein Paul Weitz ComedyMusic
Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,ActionAdventureFamilySci-Fi,superman iv: the quest for peace,Jim Broadbent Margot Kidder William Hootkins Sidney J. Furie ActionAdventureFamilySci-Fi
Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,Drama,how she move,DeRay Davis Clé Bennett Conrad Coates Ian Iqbal Rashid Drama
Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,ActionCrimeDramaThriller,running scared,Paul Walker Chazz Palminteri Ivana Milicevic Wayne Kramer ActionCrimeDramaThriller
Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,BiographyDramaRomanceSport,bobby jones: stroke of genius,Aidan Quinn Jeremy Northam Paul Freeman Rowdy Herrington BiographyDramaRomanceSport
Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,AdventureCrimeDramaRomance,shanghai surprise,Victor Wong Paul Freeman Clyde Kusatsu Jim Goddard AdventureCrimeDramaRomance
Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,AdventureHorrorThriller,roar,Tippi Hedren Melanie Griffith Zakes Mokae Noel Marshall AdventureHorrorThriller
Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,BiographyCrimeDramaThriller,veronica guerin,Brenda Fricker David Murray Gerard McSorley Joel Schumacher BiographyCrimeDramaThriller
Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,CrimeDramaRomanceThriller,escobar: paradise lost,Josh Hutcherson Brady Corbet Carlos Bardem Andrea Di Stefano CrimeDramaRomanceThriller
Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,ComedyMysterySci-FiThriller,southland tales,Janeane Garofalo Curtis Armstrong Chris Andrew Ciulla Richard Kelly ComedyMysterySci-FiThriller
Guillaume Ivernel,Rob Paulsen,Jess Harnell,Mary Mouser,AdventureAnimationFamilyFantasy,dragon hunters,Rob Paulsen Jess Harnell Mary Mouser Guillaume Ivernel AdventureAnimationFamilyFantasy
Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,Sci-Fi,damnation alley,George Peppard Jan-Michael Vincent Paul Winfield Jack Smight Sci-Fi
Todd Lincoln,Julianna Guill,Rick Gomez,Tim Williams,HorrorThriller,the apparition,Julianna Guill Rick Gomez Tim Williams Todd Lincoln HorrorThriller
Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,ComedyDramaFamilyRomance,my girl,Macaulay Culkin Jamie Lee Curtis Griffin Dunne Howard Zieff ComedyDramaFamilyRomance
