director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Juan Carlos Fresnadillo,Jeremy Renner,Harold Perrineau,Catherine McCormack,DramaHorrorSci-Fi,28 weeks later
Thomas Carter,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,DramaFamilySport,when the game stands tall
Wayne Wang,Cicely Tyson,Luke Benward,Eva Marie Saint,ComedyDramaFamily,because of winn-dixie
Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,Omar Epps,DramaRomanceSport,love & basketball
George Armitage,Minnie Driver,Michael Cudlitz,Mitchell Ryan,ActionComedyCrimeRomanceThriller,grosse pointe blank
Phil Traill,Bradley Cooper,Katy Mixon,Beth Grant,ComedyRomance,all about steve
Joe Berlinger,Kim Director,Erica Leerhsen,Kurt Loder,AdventureFantasyHorrorMysteryThriller,book of shadows: blair witch 2
Andrew Fleming,Christine Taylor,Rachel True,Brenda Strong,DramaFantasyHorrorThriller,the craft
Woody Allen,Scarlett Johansson,Mark Gatiss,Penelope Wilton,DramaRomanceThriller,match point
Elizabeth Allen Rosenbaum,Sierra McCormick,Hutch Dano,Jason Spevack,AdventureComedyFamilyFantasy,ramona and beezus
James Ivory,Anthony Hopkins,Peter Vaughan,Ben Chaplin,DramaRomance,the remains of the day
Paul Thomas Anderson,Don Cheadle,Nicole Ari Parker,Nina Hartley,Drama,boogie nights
Robert Harmon,Kieran Culkin,Rosanna Arquette,Joss Ackland,ActionCrimeDramaRomanceThriller,nowhere to run
Michael Mayer,Alison Lohman,Danny Pino,Tim McGraw,AdventureDramaFamily,flicka
Martin Weisz,Jeff Kober,Daniella Alonso,Jacob Vargas,Horror,the hills have eyes ii
John Ottman,Loretta Devine,Joey Lawrence,Jacinda Barrett,HorrorMysteryThriller,urban legends: final cut
Jay Russell,William Hurt,Sissy Spacek,Jonathan Jackson,DramaFamilyFantasyRomance,tuck everlasting
John Bonito,Kelly Carlson,Firass Dirani,Drew Powell,ActionDramaThriller,the marine
Peter Atencio,Nia Long,Will Forte,Keegan-Michael Key,ActionComedy,keanu
Shana Feste,Leighton Meester,Cinda McCain,Tim McGraw,DramaMusic,country strong
David Nutter,Bruce Greenwood,Ethan Embry,Katharine Isabelle,HorrorMysterySci-FiThriller,disturbing behavior
Derek Cianfrance,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,CrimeDramaThriller,the place beyond the pines
Roger Donaldson,Luke Bracey,Akie Kotabe,Will Patton,ActionCrimeThriller,the november man
Stephan Elliott,Jason Priestley,Patrick Bergin,Geneviève Bujold,DramaMysteryThriller,eye of the beholder
Kathryn Bigelow,Jeremy Renner,Christian Camargo,Brian Geraghty,DramaHistoryThrillerWar,the hurt locker
Mark L. Lester,Heather Locklear,George C. Scott,David Keith,ActionHorrorSci-FiThriller,firestarter
Andrew Dominik,Brad Pitt,Sam Shepard,Ben Mendelsohn,CrimeThriller,killing them softly
Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,CrimeDramaThriller,a most wanted man
Tom Green,Rip Torn,Harland Williams,Eddie Kaye Thomas,Comedy,freddy got fingered
Mike Nawrocki,Yuri Lowenthal,Cam Clarke,Phil Vischer,AdventureAnimationComedyFamily,the pirates who don't do anything: a veggietales movie
Catherine Owens,Bono,The Edge,Larry Mullen Jr.,DocumentaryMusic,u2 3d
Douglas Aarniokoski,Christopher Lambert,Adrian Paul,Adam Copeland,ActionAdventureFantasySci-Fi,highlander: endgame
Bryan Barber,Cicely Tyson,Faizon Love,Bobb'e J. Thompson,CrimeDramaMusicalRomance,idlewild
Lone Scherfig,Anne Hathaway,Jim Sturgess,Rafe Spall,DramaRomance,one day
Drew Barrymore,Daniel Stern,Jimmy Fallon,Alia Shawkat,DramaSport,whip it
Brian Koppelman,Vin Diesel,Tom Noonan,Kevin Gage,CrimeDramaThriller,knockaround guys
James Foley,Louis Lombardi,Brian Van Holt,Leland Orser,CrimeThriller,confidence
Albert Brooks,Jeff Bridges,Bradley Whitford,Albert Brooks,Comedy,the muse
Irwin Winkler,Kevin McNally,Keith Allen,Sandra Nelson,BiographyDramaMusicMusical,de-lovely
Woody Allen,Woody Allen,Larry David,Mia Farrow,ComedyDramaRomance,new york stories
Steve Gomer,Trevor Morgan,Kyla Pratt,Shirley Douglas,AdventureFamily,barney's great adventure
RZA,Rick Yune,RZA,Daniel Wu,Action,the man with the iron fists
Dean Parisot,Catherine O'Hara,Jake Busey,Shelley Duvall,ComedyDramaRomance,home fries
Mark Piznarski,Bruce Greenwood,Chris Klein,Elaine Hendrix,DramaRomance,here on earth
Terry Gilliam,Robert De Niro,Bob Hoskins,Jim Broadbent,DramaSci-Fi,brazil
Sean McNamara,Oliver James,Rebecca De Mornay,Jason Ritter,FamilyMusicRomance,raise your voice
unknown,David Ogden Stiers,Nicole de Boer,Chris Bruno,DramaFantasyMysterySci-Fi,the dead zone            
Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,ComedyCrime,the big lebowski
Craig Brewer,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,DramaMusic,black snake moan
Ron Shelton,Khandi Alexander,Dash Mihok,Michael Michele,CrimeDramaRomanceThriller,dark blue
Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,BiographyDramaHistoryThrillerWar,a mighty heart
David Raynr,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,ComedyDramaRomance,whatever it takes
Mort Nathan,Vivica A. Fox,Lin Shaye,Bob Gunton,Comedy,boat trip
Oliver Parker,Colin Firth,Tom Wilkinson,Rupert Everett,ComedyDramaRomance,the importance of being earnest
Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,FantasyRomance,the love letter
Wil Shriner,Logan Lerman,Neil Flynn,Tim Blake Nelson,AdventureComedyFamily,hoot
Martin McDonagh,Elizabeth Berrington,Anna Madeley,Eric Godon,ComedyCrimeDrama,in bruges
Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,ComedyRomance,peeples
Peter Cattaneo,Emma Stone,Bradley Cooper,Josh Gad,ComedyMusic,the rocker
Vicky Jenson,J.K. Simmons,Zach Gilford,Bobby Coleman,ComedyRomance,post grad
Gus Van Sant,Matt Damon,Hal Holbrook,Terry Kinney,Drama,promised land
Woody Allen,Larry David,Michael McKean,Conleth Hill,ComedyRomance,whatever works
Mary Lambert,Matthew Settle,Susan Ward,A.J. Buckley,DramaMysteryThriller,the in crowd
Tommy Lee Jones,Levon Helm,Dwight Yoakam,Guillermo Arriaga,AdventureCrimeDramaMysteryWestern,three burials
Peter Kassovitz,Robin Williams,Mark Margolis,Michael Jeter,DramaWar,jakob the liar
Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller,ComedyCrimeMystery,kiss kiss bang bang
Rodman Flender,Vivica A. Fox,Fred Willard,Elden Henson,ComedyFantasyHorrorThriller,idle hands
David Lynch,Naomi Watts,Robert Forster,Laura Harring,DramaMysteryThriller,mulholland drive
Katja von Garnier,Olivier Martinez,Agnes Bruckner,Chris Geere,DramaFantasyHorrorRomance,blood and chocolate
Woody Allen,Anthony Hopkins,Naomi Watts,Ewen Bremner,ComedyDramaRomance,you will meet a tall dark stranger
Mark Romanek,Andrew Garfield,Charlie Rowe,Charlotte Rampling,DramaRomanceSci-Fi,never let me go
unknown,Anna Silk,Tom Hollander,Alessandro Nivola,DramaHistoryThriller,the company            
Brad Anderson,Thomas Kretschmann,Eduardo Noriega,Mac McDonald,CrimeDramaMysteryThriller,transsiberian
Michael Chapman,Curtis Armstrong,Pamela Reed,Mike Muscat,AdventureDramaFantasy,the clan of the cave bear
Antonio Banderas,Meat Loaf,Elizabeth Perkins,Noah Emmerich,ComedyCrimeDrama,crazy in alabama
Michael Haneke,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet,CrimeDramaHorrorThriller,funny games
Khalil Sullins,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,DramaSci-FiThriller,listening
Atom Egoyan,Bob Hoskins,Elaine Cassidy,Gerard McSorley,DramaThriller,felicia's journey
Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,DramaSci-Fi,metropolis
Pierre Morel,David Belle,Cyril Raffaelli,Dany Verissimo-Petit,ActionCrimeThriller,district b13
Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams,CrimeDrama,things to do in denver when you're dead
Hsiao-Hsien Hou,Qi Shu,Chen Chang,Satoshi Tsumabuki,ActionDrama,the assassin
Gregor Jordan,Dean Stockwell,Scott Glenn,Leon,ComedyCrimeDramaThrillerWar,buffalo soldiers
Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,DramaMysteryThriller,the return
Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Action,ong-bak 2
Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno,ActionAdventureDramaHistoryThrillerWar,centurion
Russell Mulcahy,Christopher Heyerdahl,Gina Bellman,Conrad Dunn,ActionDramaThriller,silent trigger
Ryûhei Kitamura,Bradley Cooper,Brooke Shields,Leslie Bibb,FantasyHorrorMystery,the midnight meat train
Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo,BiographyDramaHistory,winnie mandela
Dito Montiel,Channing Tatum,Al Pacino,Tracy Morgan,CrimeDramaThriller,the son of no one
Stefan Ruzowitzky,Eddie Izzard,Udo Kier,Edward Fox,ActionComedyDramaWar,all the queen's men
Jake Paltrow,Stephen Graham,Gael Le Cornec,Keith Allen,ComedyDramaFantasyMusicRomance,the good night
Juraj Jakubisko,Anna Friel,Hans Matheson,Franco Nero,BiographyDramaFantasyHistory,bathory: countess of blood
Anthony Silverston,Liam Neeson,Steve Buscemi,Loretta Devine,AdventureAnimationFamily,khumba
Gabe Ibáñez,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,ActionSci-FiThriller,automata
Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,ActionAdventureFantasy,dungeons & dragons: wrath of the dragon god
Daniele Luchetti,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Biography,chiamatemi francesco - il papa della gente
Tung-Shing Yee,Bingbing Fan,Daniel Wu,Yasuaki Kurata,ActionCrimeDramaThriller,shinjuku incident
Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache,BiographyDrama,pandaemonium
Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,ComedyFantasyRomance,groundhog day
Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash,ComedyDramaMusic,magic mike xxl
Baz Luhrmann,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,DramaRomance,romeo + juliet
Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,DramaWar,sarah's key
Peter Cousens,Sharon Leal,David Rasche,Bart Shatto,DramaFamilyMusic,freedom
Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,DramaWestern,unforgiven
Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama,manderlay
Danny Boyle,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,DramaRomance,slumdog millionaire
Adrian Lyne,Fred Gwynne,Lois Smith,Anne Archer,DramaRomanceThriller,fatal attraction
Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander,ComedyRomance,pretty woman
John Blanchard,Martin Short,Andrea Martin,Joe Flaherty,Comedy,towering inferno            
John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,ActionAdventureComedy,crocodile dundee ii
Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop,ActionCrimeDramaMysteryThriller,broken horses
Oliver Stone,Tom Cruise,Tom Berenger,Stephen Baldwin,BiographyDramaWar,born on the fourth of july
Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,AdventureComedyFamilySport,cool runnings
Patrick Lussier,Jensen Ackles,Jaime King,Edi Gathegi,HorrorThriller,my bloody valentine
Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis,HorrorThriller,the possession
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,ActionAdventureDrama,first blood
Sylvain White,Chris Brown,Laz Alonso,Harry Lennix,DramaMusicRomance,stomp the yard
Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach,ActionAdventureSci-FiThriller,the spy who loved me
unknown,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,ghost hunters            
Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,HorrorMysteryThriller,urban legend
Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,DramaRomance,dangerous liaisons
Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,ComedyDramaRomance,good deeds
Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,AdventureDrama,white fang
Bruce McCulloch,Will Ferrell,Elaine Hendrix,Molly Shannon,ComedyRomance,superstar
Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,BiographyDramaHistory,the iron lady
Mike Nawrocki,Phil Vischer,Mike Nawrocki,Shelby Vischer,AdventureAnimationComedyDramaFamilyMusical,jonah: a veggietales movie
John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,DramaRomance,poetic justice
Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano,ActionComedyCrimeThriller,all about the benjamins
Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,ComedyFantasyHorrorRomance,vampire in brooklyn
John Boorman,Linda Blair,Richard Burton,Ned Beatty,Horror,exorcist ii: the heretic
Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,HorrorMysteryThriller,an american haunting
David Zucker,Carmen Electra,Tyler Labine,Molly Shannon,ComedyRomance,my boss's daughter
David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,AdventureMysteryThriller,a perfect getaway
Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,ComedyRomance,our family wedding
Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Comedy,dead man on campus
Franco Zeffirelli,Lily Tomlin,Joan Plowright,Paolo Seganti,ComedyDramaWar,tea with mussolini
Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,FantasyHorror,thinner
Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place,DramaMusicMusicalRomance,"new york, new york"
Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,ComedyDrama,crooklyn
Chris Rock,Steve Buscemi,Eliza Coupe,Wendell Pierce,ComedyDramaRomance,i think i love my wife
James Isaac,Peter Mensah,Kane Hodder,Lexa Doig,ActionHorrorSci-FiThriller,jason x
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,AdventureComedyFamily,big fat liar
Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty,DramaHistory,bobby
Mark Waters,Monica Potter,Ivana Milicevic,China Chow,ComedyMysteryRomance,head over heels
Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau,AdventureComedy,fun size
Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,BiographyDrama,the diving bell and the butterfly
Todd Field,Kate Winslet,Noah Emmerich,Jane Adams,DramaRomance,little children
Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,DramaMysteryThriller,gossip
Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,a walk on the moon
Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna,BiographyDramaHistory,catch a fire
Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,DramaHorrorMysteryThriller,soul survivors
James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,BiographyDramaHistoryRomance,jefferson in paris
Stephan Elliott,Colin Firth,Kristin Scott Thomas,Kris Marshall,ComedyRomance,easy virtue
James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,ActionAdventureHistory,caravans
Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson,BiographyDramaHistory,mr. turner
Alain Resnais,Mathieu Amalric,Sara Forestier,Edouard Baer,DramaRomance,wild grass
Costa-Gavras,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,BiographyCrimeDramaWar,amen.
Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,Action,reign of assassins
Neil Burger,John Heard,Katherine LaNasa,Mark L. Young,ComedyDramaWar,the lucky ones
Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.,Drama,margaret
Bo Zenga,Steve Howey,Kenan Thompson,Diora Baird,ComedyHorror,stan helsing
Rob Reiner,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,ComedyDramaRomance,flipped
Ang Lee,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,DramaRomance,brokeback mountain
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,ActionAdventureComedySci-Fi,teenage mutant ninja turtles
Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,ComedyRomance,clueless
Todd Haynes,Dennis Quaid,Celia Weston,Michael Gaston,DramaRomance,far from heaven
Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe,ComedySci-Fi,hot tub time machine 2
unknown,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,Drama,dekalog            
Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner,BiographyDrama,quills
Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,ComedyCrime,seven psychopaths
Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,CrimeDramaMusicMysteryThriller,the caveman's valentine
unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,ActionCrimeDramaThriller,the border            
Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,BiographyDramaHistoryWar,downfall
Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas,BiographyDramaRomance,the sea inside
Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,DramaHorrorSci-FiThriller,under the skin
Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby,BiographyComedyDramaWar,"good morning, vietnam"
Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,Comedy,the last godfather
Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,DocumentaryMusic,justin bieber: never say never
Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,DramaThriller,black swan
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,ActionCrimeSci-FiThriller,robocop
Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,CrimeDrama,the godfather: part ii
Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,DramaMusicRomance,save the last dance
Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,FantasyHorrorThriller,a nightmare on elm street 4: the dream master
Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,Drama,miracles from heaven
Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,ComedyMystery,"dude, where's my car?"
Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,ActionCrimeDramaThrillerWestern,young guns
Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey,ComedyDrama,st. vincent
Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,ComedyRomance,about last night
Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,ComedyDramaRomance,10 things i hate about you
Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,Comedy,the new guy
Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,ActionComedyCrime,loaded weapon 1
Jaume Collet-Serra,Óscar Jaenada,Brett Cullen,Sedona Legge,DramaHorrorThriller,the shallows
Eric Bress,Logan Lerman,Eric Stoltz,Cameron Bright,Sci-FiThriller,the butterfly effect
Chris Koch,Chris Elliott,Mark Webber,Jean Smart,AdventureComedyFamily,snow day
Preston A. Whitmore II,Mekhi Phifer,Chris Brown,Loretta Devine,ComedyDramaRomance,this christmas
Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee,ComedyCrimeFamilySci-Fi,baby geniuses
Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,ActionComedyCrimeThriller,the big hit
Bronwen Hughes,Gregory Smith,Eartha Kitt,Charlotte Sullivan,ComedyDramaFamily,harriet the spy
John Lafia,Jenny Agutter,Beth Grant,Greg Germann,FantasyHorror,child's play 2
Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons,CrimeThriller,no good deed
Frank Darabont,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Horror,the mist
Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,DramaMysterySci-FiThriller,ex machina
Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place,ComedyDramaFantasy,being john malkovich
Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones,ComedyRomance,two can play that game
Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,AdventureFamilySci-Fi,earth to echo
John Stockwell,Kirsten Dunst,Jay Hernandez,Rolando Molina,DramaRomance,crazy/beautiful
Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,DramaHistoryWar,letters from iwo jima
Michael Polish,J.K. Simmons,Virginia Madsen,Bruce Dern,AdventureDramaSci-Fi,the astronaut farmer
Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle,ComedyRomance,woo
Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar,Drama,room
Bob Saget,Don Rickles,Jack Warden,Traylor Howard,Comedy,dirty work
John Waters,Kathleen Turner,Sam Waterston,Traci Lords,ComedyCrimeThriller,serial mom
Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Comedy,dick
Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,ActionCrimeMysteryThriller,del 1 - män som hatar kvinnor            
Craig Bolotin,Rosario Dawson,Vanessa Williams,Robert Ri'chard,DramaThriller,light it up
Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,DramaMusic,54
Blair Hayes,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,AdventureComedyRomanceSci-Fi,bubble boy
Jez Butterworth,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,ComedyCrimeThriller,birthday girl
Jon Lucas,Justin Chon,Josie Loren,Sarah Wright,Comedy,21 & over
Olivier Assayas,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,ComedyDramaRomance,"paris, je t'aime"
Rod Lurie,Harry Lennix,Kathryn Morris,Peter Coyote,DramaSport,resurrecting the champ
Paul Weitz,Tina Fey,Sarita Choudhury,Christopher Evan Welch,ComedyDramaRomance,admission
Patrice Leconte,Emir Kusturica,Daniel Auteuil,Yves Jacques,DramaRomance,the widow of saint-pierre
Atom Egoyan,Liam Neeson,Meghan Heffern,Natalie Lisinska,DramaMysteryRomanceThriller,chloe
Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,ComedyCrimeDrama,faithful
Jim Sheridan,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,DramaThriller,brothers
Sidney Lumet,Peter Dinklage,Vin Diesel,Alex Rocco,BiographyComedyCrimeDrama,find me guilty
Stephen Chbosky,Logan Lerman,Ezra Miller,Kate Walsh,DramaRomance,the perks of being a wallflower
Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,Action,excessive force
Douglas McGrath,Toby Jones,Isabella Rossellini,Hope Davis,BiographyCrimeDrama,infamous
Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson,DramaRomanceWestern,the claim
Mark Neveldine,Djimon Hounsou,Alison Lohman,Dougray Scott,HorrorThriller,the vatican tapes
Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker,ActionComedySci-FiThriller,attack the block
Angelina Jolie Pitt,Jelena Jovanova,Nikola Djuricko,Branko Djuric,DramaRomanceWar,in the land of blood and honey
Brad Anderson,Michael Imperioli,Tara Platt,Roma Maffia,CrimeThriller,the call
John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,ActionDramaHistoryWar,operation chromite
John Stainton,Steve Irwin,Aden Young,Steve Bastoni,ActionAdventureComedyFamily,the crocodile hunter: collision course
Glenn Ficarra,Dameon Clarke,Louis Herthum,Annie Golden,BiographyComedyCrimeDramaRomance,i love you phillip morris
Jean-Jacques Annaud,Rae Dawn Chong,Everett McGill,Gary Schwartz,AdventureDramaHistory,quest for fire
Denzel Washington,Denzel Washington,Kevin Connolly,Derek Luke,BiographyDrama,antwone fisher
Michael Hoffman,Gabriel Millman,Embeth Davidtz,Rob Morrow,Drama,the emperor's club
Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,ActionCrimeDramaRomanceThriller,true romance
Benedek Fliegauf,Eva Green,Matt Smith,Hannah Murray,DramaRomanceSci-Fi,womb
James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella,CrimeDramaMystery,glengarry glen ross
Michael Winterbottom,Liam Aiken,Ned Beatty,Jay R. Ferguson,CrimeDramaThriller,the killer inside me
Paul Schrader,Ed Begley Jr.,Ruby Dee,John Heard,FantasyHorrorThriller,cat people
Stewart Hendler,Julian Morris,Margo Harshman,Rumer Willis,HorrorMystery,sorority row
John Cromwell,David Niven,Mary Astor,Ronald Colman,AdventureDramaRomance,the prisoner of zenda
Craig Gillespie,Ryan Gosling,Kelli Garner,Paul Schneider,ComedyDramaRomance,lars and the real girl
Mark Herman,Richard Johnson,Sheila Hancock,Cara Horgan,DramaWar,the boy in the striped pajamas
Lars von Trier,Catherine Deneuve,Udo Kier,Björk,CrimeDramaMusical,dancer in the dark
Gillian Armstrong,Tom Wilkinson,Richard Roxburgh,Clive Russell,DramaRomance,oscar and lucinda
Abel Ferrara,Isabella Rossellini,Vincent Gallo,Gretchen Mol,CrimeDrama,the funeral
Brian Koppelman,Jenna Fischer,David Costabile,Richard Schiff,ComedyDramaRomance,solitary man
Ethan Maniquis,Robert De Niro,Don Johnson,Cheech Marin,ActionCrimeThriller,machete
George Hickenlooper,Kevin Spacey,Eric Schweig,Christian Campbell,BiographyComedyCrimeDrama,casino jack
Don Bluth,Judith Barsi,Gabriel Damon,Bill Erwin,AdventureAnimationFamily,the land before time
Je-kyu Kang,Min-sik Choi,Bin Won,Dong-gun Jang,ActionDramaWar,tae guk gi: the brotherhood of war
William Dear,Clifton Collins Jr.,Cheech Marin,Bruce McGill,ComedyDramaFamilySport,the perfect game
William Friedkin,Ellen Burstyn,Linda Blair,Lee J. Cobb,Horror,the exorcist
Steven Spielberg,Roy Scheider,Robert Shaw,Murray Hamilton,AdventureDramaThriller,jaws
Paul Weitz,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,american pie
Stéphane Aubier,Mackenzie Foy,Megan Mullally,Lambert Wilson,AnimationComedyCrimeDramaFamily,ernest & celestine
Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,ActionAdventureComedyFantasyMystery,the golden child
Tim Story,Chris Brown,Romany Malco,Regina Hall,ComedyRomance,think like a man
Tim Story,Sean Patrick Thomas,Jason George,Cedric the Entertainer,ComedyDrama,barbershop
Nicholas Meyer,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,ActionAdventureSci-Fi,star trek ii: the wrath of khan
Tom Shadyac,Sean Young,Udo Kier,David Margulies,Comedy,ace ventura: pet detective
